"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11038","Verify that user cannot login with invalid credentials","TestSuite","Thu Dec 04 12:31:34 UTC 2025","passed","Thu Dec 04 12:31:45 UTC 2025","tests.NegativeLoginTest","AllTests","tests.NegativeLoginTest","invalidLoginTest"
"","2922","Verify that products are sorted correctly","TestSuite","Thu Dec 04 12:30:44 UTC 2025","passed","Thu Dec 04 12:30:46 UTC 2025","tests.SortTest","AllTests","tests.SortTest","sortProductsTest"
"","7842","Verify that user can login with valid credentials","TestSuite","Thu Dec 04 12:30:41 UTC 2025","passed","Thu Dec 04 12:30:49 UTC 2025","tests.LoginTest","AllTests","tests.LoginTest","validLoginTest"
"","7881","Verify that user cannot login with invalid credentials","TestSuite","Thu Dec 04 12:31:08 UTC 2025","passed","Thu Dec 04 12:31:16 UTC 2025","tests.NegativeLoginTest","AllTests","tests.NegativeLoginTest","invalidLoginTest"
"","4199","Verify that products are sorted correctly","TestSuite","Thu Dec 04 12:31:33 UTC 2025","passed","Thu Dec 04 12:31:37 UTC 2025","tests.SortTest","AllTests","tests.SortTest","sortProductsTest"
"","3737","Verify that products are sorted correctly","TestSuite","Thu Dec 04 12:31:03 UTC 2025","passed","Thu Dec 04 12:31:07 UTC 2025","tests.SortTest","AllTests","tests.SortTest","sortProductsTest"
"","7980","Verify that user cannot login with invalid credentials","TestSuite","Thu Dec 04 12:30:41 UTC 2025","passed","Thu Dec 04 12:30:49 UTC 2025","tests.NegativeLoginTest","AllTests","tests.NegativeLoginTest","invalidLoginTest"
"","11753","Verify that user cannot login with invalid credentials","TestSuite","Thu Dec 04 12:32:34 UTC 2025","passed","Thu Dec 04 12:32:46 UTC 2025","tests.NegativeLoginTest","AllTests","tests.NegativeLoginTest","invalidLoginTest"
"","5265","Verify that products are sorted correctly","TestSuite","Thu Dec 04 12:31:55 UTC 2025","passed","Thu Dec 04 12:32:00 UTC 2025","tests.SortTest","AllTests","tests.SortTest","sortProductsTest"
"","7955","Verify that user cannot login with invalid credentials","TestSuite","Thu Dec 04 12:33:05 UTC 2025","passed","Thu Dec 04 12:33:13 UTC 2025","tests.NegativeLoginTest","AllTests","tests.NegativeLoginTest","invalidLoginTest"
"","8237","Verify that user can add and remove product from cart","TestSuite","Thu Dec 04 12:31:50 UTC 2025","passed","Thu Dec 04 12:31:58 UTC 2025","tests.CartTest","AllTests","tests.CartTest","addAndRemoveProductFromCartTest"
"","11645","Verify that user cannot login with invalid credentials","TestSuite","Thu Dec 04 12:32:04 UTC 2025","passed","Thu Dec 04 12:32:15 UTC 2025","tests.NegativeLoginTest","AllTests","tests.NegativeLoginTest","invalidLoginTest"
